"Eastern Date Hour","Zone Name","DAM Forecast Load","GMT Start Hour"
"2023/01/02 21:00:00","CAPITL","1320","2"
"2023/01/02 21:00:00","CENTRL","1686","2"
"2023/01/02 21:00:00","DUNWOD","603","2"
"2023/01/02 21:00:00","GENESE","1048","2"
"2023/01/02 21:00:00","HUD VL","1044","2"
"2023/01/02 21:00:00","LONGIL","2216","2"
"2023/01/02 21:00:00","MHK VL","752","2"
"2023/01/02 21:00:00","MILLWD","318","2"
"2023/01/02 21:00:00","N.Y.C.","5078","2"
"2023/01/02 21:00:00","NORTH","714","2"
"2023/01/02 21:00:00","WEST","1601","2"
"2023/01/02 22:00:00","CAPITL","1233","3"
"2023/01/02 22:00:00","CENTRL","1600","3"
"2023/01/02 22:00:00","DUNWOD","567","3"
"2023/01/02 22:00:00","GENESE","983","3"
"2023/01/02 22:00:00","HUD VL","974","3"
"2023/01/02 22:00:00","LONGIL","2049","3"
"2023/01/02 22:00:00","MHK VL","702","3"
"2023/01/02 22:00:00","MILLWD","290","3"
"2023/01/02 22:00:00","N.Y.C.","4827","3"
"2023/01/02 22:00:00","NORTH","696","3"
"2023/01/02 22:00:00","WEST","1527","3"
"2023/01/02 23:00:00","CAPITL","1161","4"
"2023/01/02 23:00:00","CENTRL","1539","4"
"2023/01/02 23:00:00","DUNWOD","532","4"
"2023/01/02 23:00:00","GENESE","936","4"
"2023/01/02 23:00:00","HUD VL","911","4"
"2023/01/02 23:00:00","LONGIL","1886","4"
"2023/01/02 23:00:00","MHK VL","660","4"
"2023/01/02 23:00:00","MILLWD","262","4"
"2023/01/02 23:00:00","N.Y.C.","4586","4"
"2023/01/02 23:00:00","NORTH","677","4"
"2023/01/02 23:00:00","WEST","1455","4"
"2023/01/03 00:00:00","CAPITL","1107","5"
"2023/01/03 00:00:00","CENTRL","1491","5"
"2023/01/03 00:00:00","DUNWOD","503","5"
"2023/01/03 00:00:00","GENESE","923","5"
"2023/01/03 00:00:00","HUD VL","859","5"
"2023/01/03 00:00:00","LONGIL","1721","5"
"2023/01/03 00:00:00","MHK VL","634","5"
"2023/01/03 00:00:00","MILLWD","231","5"
"2023/01/03 00:00:00","N.Y.C.","4353","5"
"2023/01/03 00:00:00","NORTH","671","5"
"2023/01/03 00:00:00","WEST","1400","5"
"2023/01/03 01:00:00","CAPITL","1080","6"
"2023/01/03 01:00:00","CENTRL","1464","6"
"2023/01/03 01:00:00","DUNWOD","486","6"
"2023/01/03 01:00:00","GENESE","906","6"
"2023/01/03 01:00:00","HUD VL","833","6"
